1001 47978
14 738 44.0
14 745 23.0
14 750 60.0
14 787 15.0
14 810 18.0
14 825 53.0
14 842 26.0
14 852 43.0
14 861 33.0
14 911 34.0
14 925 48.0
14 933 9.0
14 959 13.0
15 14 15.0
15 62 17.0
15 72 11.0
15 82 3.0
15 138 34.0
15 169 5.0
15 170 29.0
15 269 0.0
15 271 36.0
15 277 4.0
15 322 28.0
15 346 21.0
15 365 48.0
15 373 31.0
15 416 17.0
15 441 14.0
15 503 32.0
15 540 23.0
15 562 42.0
15 571 49.0
15 597 14.0
15 616 36.0
15 619 51.0
15 624 19.0
15 638 11.0
15 639 19.0
15 662 48.0
15 670 23.0
15 681 3.0
15 723 37.0
15 725 49.0
15 728 6.0
15 787 21.0
15 800 20.0
15 817 32.0
15 821 15.0
15 843 38.0
15 849 48.0
15 855 25.0
15 888 16.0
15 889 55.0
15 967 11.0
16 18 0.0
16 26 36.0
16 75 40.0
16 101 2.0
16 130 29.0
16 141 6.0
16 167 34.0
16 177 5.0
16 184 54.0
16 189 23.0
16 197 13.0
16 239 37.0
16 300 1.0
16 319 17.0
16 332 3.0
16 333 40.0
16 334 45.0
16 343 12.0
16 412 19.0
16 429 13.0
16 442 0.0
16 443 37.0
16 449 35.0
16 454 13.0
16 497 7.0
16 517 29.0
16 522 12.0
16 580 27.0
16 613 40.0
16 648 41.0
16 651 29.0
16 655 47.0
16 691 48.0
16 703 19.0
16 721 44.0
16 726 31.0
16 732 29.0
16 742 61.0
16 749 38.0
16 758 41.0
16 803 8.0
16 809 3.0
16 810 41.0
16 869 55.0
16 895 22.0
16 902 39.0
16 903 42.0
16 918 22.0
16 944 45.0
16 952 39.0
16 969 37.0
16 974 43.0
16 984 31.0
17 3 29.0
17 14 41.0
17 23 37.0
17 28 27.0
17 78 42.0
17 91 42.0
17 95 15.0
17 96 14.0
17 99 25.0
17 115 30.0
17 123 21.0
17 138 42.0
17 196 0.0
17 200 6.0
17 212 15.0
17 217 8.0
17 230 14.0
17 236 46.0
17 257 34.0
17 268 4.0
17 271 27.0
17 282 50.0
17 298 5.0
17 330 55.0
17 362 30.0
17 381 6.0
17 385 54.0
17 386 35.0
17 399 7.0
17 400 55.0
17 413 50.0
17 446 12.0
17 459 34.0
17 468 46.0
17 490 12.0
17 515 30.0
17 537 19.0
17 555 21.0
17 560 30.0
17 565 47.0
17 596 27.0
17 597 33.0
17 608 31.0
17 647 44.0
17 666 42.0
17 701 51.0
17 704 51.0
17 794 42.0
17 807 47.0
17 859 58.0
17 877 23.0
17 885 49.0
17 896 22.0
17 917 62.0
17 944 25.0
17 964 13.0
17 978 9.0
18 36 20.0
18 41 49.0
18 47 3.0
18 92 52.0
18 96 11.0
18 102 41.0
18 167 29.0
18 177 0.0
18 185 23.0
18 230 16.0
18 246 29.0
18 252 0.0
18 270 5.0
18 283 12.0
18 322 40.0
18 405 50.0
18 414 19.0
18 436 12.0
18 447 44.0
18 472 15.0
18 486 36.0
18 490 52.0
18 499 18.0
18 513 31.0
18 524 30.0
18 531 32.0
18 542 15.0
18 553 18.0
18 595 34.0
18 602 46.0
18 642 2.0
18 664 25.0
18 686 16.0
18 737 42.0
18 784 16.0
18 802 32.0
18 813 5.0
18 835 31.0
18 881 8.0
18 905 31.0
18 906 36.0
18 916 40.0
18 936 25.0
18 946 0.0
18 968 56.0
19 7 21.0
19 67 17.0
19 125 47.0
19 152 4.0
19 223 7.0
19 285 0.0
19 286 2.0
19 290 28.0
19 312 4.0
19 323 24.0
19 332 1.0
19 343 3.0
19 346 12.0
19 349 20.0
19 389 46.0
19 395 17.0
19 406 0.0
19 461 27.0
19 477 29.0
19 491 10.0
19 498 47.0
19 515 30.0
19 516 39.0
19 578 29.0
19 622 23.0
19 631 49.0
19 664 12.0
19 672 10.0
19 682 13.0
19 691 22.0
19 716 20.0
19 717 6.0
19 744 38.0
19 747 23.0
19 764 22.0
19 802 19.0
19 805 22.0
19 820 43.0
19 839 9.0
19 854 26.0
19 857 24.0
19 866 55.0
19 885 36.0
20 2 8.0
20 35 45.0
20 40 14.0
20 51 25.0
20 77 11.0
20 82 27.0
20 89 49.0
20 129 18.0
20 143 19.0
20 153 32.0
20 195 15.0
20 210 6.0
20 220 34.0
20 223 11.0
20 228 36.0
20 254 15.0
20 286 40.0
20 312 0.0
20 319 14.0
20 330 20.0
20 336 11.0
20 338 41.0
20 348 25.0
20 353 34.0
20 359 8.0
20 404 25.0
20 408 14.0
20 411 9.0
20 415 26.0
20 432 32.0
20 518 34.0
20 519 45.0
20 523 14.0
20 548 49.0
20 565 35.0
20 642 0.0
20 660 26.0
20 671 6.0
20 761 14.0
20 784 20.0
20 792 3.0
20 870 16.0
20 876 11.0
20 881 9.0
20 937 19.0
20 959 11.0
20 982 39.0
20 983 23.0
20 994 9.0
21 25 1.0
21 30 10.0
21 43 39.0
21 66 2.0
21 71 30.0
21 72 31.0
21 135 25.0
21 157 24.0
21 159 7.0
21 165 45.0
21 170 23.0
21 179 27.0
21 240 19.0
21 266 46.0
21 271 0.0
21 283 13.0
21 299 15.0
21 301 25.0
21 343 12.0
21 365 12.0
21 370 40.0
21 382 17.0
21 448 31.0
21 580 52.0
21 606 18.0
21 608 13.0
21 618 21.0
21 629 13.0
21 635 5.0
21 639 14.0
21 653 32.0
21 660 30.0
21 723 26.0
21 728 48.0
21 749 26.0
21 755 12.0
21 786 23.0
21 806 54.0
21 809 35.0
21 813 48.0
21 820 17.0
21 843 8.0
21 848 30.0
21 862 4.0
21 871 10.0
21 872 41.0
21 883 33.0
21 917 45.0
21 938 40.0
21 946 28.0
21 954 1.0
21 964 17.0
22 1 33.0
22 5 23.0
22 30 12.0
22 40 49.0
22 42 36.0
22 49 25.0
22 79 15.0
22 83 15.0
22 87 19.0
22 95 17.0
22 97 9.0
22 101 0.0
22 106 34.0
22 156 28.0
22 158 45.0
22 189 45.0
22 248 12.0
22 260 44.0
22 286 7.0
22 307 36.0
22 324 30.0
22 333 24.0
22 341 12.0
22 364 32.0
22 389 49.0
22 396 39.0
22 417 26.0
22 466 19.0
22 473 9.0
22 485 28.0
22 486 52.0
22 502 47.0
22 527 16.0
22 548 34.0
22 571 43.0
22 578 38.0
22 579 10.0
22 616 19.0
22 625 15.0
22 643 34.0
22 661 37.0
22 692 38.0
22 762 46.0
22 781 20.0
22 814 34.0
22 818 24.0
22 825 54.0
22 839 12.0
22 871 52.0
22 892 32.0
22 902 17.0
22 910 41.0
22 951 58.0
22 952 17.0
22 979 59.0
22 993 47.0
23 16 0.0
23 44 38.0
23 50 0.0
23 61 24.0
23 90 42.0
23 145 0.0
23 148 4.0
23 164 23.0
23 171 21.0
23 190 16.0
23 193 30.0
23 197 0.0
23 203 11.0
23 221 0.0
23 226 36.0
23 274 43.0
23 299 24.0
23 312 37.0
23 335 32.0
23 351 54.0
23 379 21.0
23 382 7.0
23 387 2.0
23 426 2.0
23 502 53.0
23 519 12.0
23 522 37.0
23 615 33.0
23 627 11.0
23 645 23.0
23 777 50.0
23 790 34.0
23 842 32.0
23 858 36.0
23 871 31.0
23 895 26.0
23 910 41.0
23 937 15.0
23 942 13.0
23 987 44.0
24 2 8.0
24 11 51.0
24 27 26.0
24 39 0.0
24 41 21.0
24 102 6.0
24 144 32.0
24 147 13.0
24 175 46.0
24 181 4.0
24 188 30.0
24 191 37.0
24 196 26.0
24 203 37.0
24 221 1.0
24 237 3.0
24 302 5.0
24 325 35.0
24 361 9.0
24 378 2.0
24 401 32.0
24 403 29.0
24 447 41.0
24 475 11.0
24 486 57.0
24 499 46.0
24 505 29.0
24 523 22.0
24 537 24.0
24 540 24.0
24 552 51.0
24 560 49.0
24 594 51.0
24 595 49.0
24 630 42.0
24 668 8.0
24 673 55.0
24 677 30.0
24 690 57.0
24 694 42.0
24 732 19.0
24 776 12.0
24 786 48.0
24 816 23.0
24 819 44.0
24 832 28.0
24 851 51.0
24 866 14.0
24 872 31.0
24 880 5.0
24 925 57.0
24 996 52.0
25 21 5.0
25 27 20.0
25 37 11.0
25 55 22.0
25 87 45.0
25 183 8.0
25 192 5.0
25 211 0.0
25 221 29.0
25 237 29.0
25 239 19.0
25 243 48.0
25 283 34.0
25 290 33.0
25 331 33.0
25 342 44.0
25 368 21.0
25 392 23.0
25 397 44.0
25 419 34.0
25 423 15.0
25 434 46.0
25 440 5.0
25 449 39.0
25 450 28.0
25 454 48.0
25 469 32.0
25 488 29.0
25 510 22.0
25 536 21.0
25 539 53.0
25 548 4.0
25 564 42.0
25 598 4.0
25 604 6.0
25 681 28.0
25 685 33.0
25 706 46.0
25 709 52.0
25 789 11.0
25 792 18.0
25 812 21.0
25 872 26.0
25 883 47.0
25 932 41.0
25 948 34.0
25 949 29.0
25 963 31.0
25 971 13.0
25 982 5.0
25 997 52.0
26 13 28.0
26 43 33.0
26 46 0.0
26 69 3.0
26 70 21.0
26 71 0.0
26 112 4.0
26 116 32.0
26 129 43.0
26 135 0.0
26 147 13.0
26 164 21.0
26 173 27.0
26 175 37.0
26 219 34.0
26 234 17.0
26 282 5.0
26 315 1.0
26 331 25.0
26 357 23.0
26 380 45.0
26 393 22.0
26 408 24.0
26 471 47.0
26 475 48.0
26 485 12.0
26 489 44.0
26 504 23.0
26 537 12.0
26 563 39.0
26 567 53.0
26 581 19.0
26 596 23.0
26 656 13.0
26 665 38.0
26 677 11.0
26 741 53.0
26 794 19.0
26 805 16.0
26 837 15.0
26 838 27.0
26 853 12.0
26 867 31.0
26 888 43.0
26 889 16.0
26 917 20.0
26 942 52.0
26 952 7.0
26 994 44.0
26 995 55.0
27 11 33.0
27 17 0.0
27 47 40.0
27 57 40.0
27 77 45.0
27 116 17.0
27 126 35.0
27 133 2.0
27 148 20.0
27 160 12.0
27 165 45.0
27 202 32.0
27 213 39.0
27 221 45.0
27 222 1.0
27 226 0.0
27 232 18.0
27 249 43.0
27 260 6.0
27 294 11.0
27 321 4.0
27 326 33.0
27 365 45.0
27 381 33.0
27 407 28.0
27 467 29.0
27 472 24.0
27 524 8.0
27 609 40.0
27 641 12.0
27 675 14.0
27 705 28.0
27 722 43.0
27 725 18.0
27 733 22.0
27 760 53.0
27 765 39.0
27 800 35.0
27 810 52.0
27 814 20.0
27 841 11.0
27 861 47.0
27 877 44.0
27 891 50.0
27 922 25.0
27 935 7.0
27 955 24.0
27 972 42.0
27 997 39.0
28 60 48.0
28 85 11.0
28 146 31.0
28 156 12.0
28 164 0.0
28 171 25.0
28 179 42.0
28 193 17.0
28 200 11.0
28 207 48.0
28 213 13.0
28 217 37.0
28 220 0.0
28 234 26.0
28 238 2.0
28 347 21.0
28 365 23.0
28 441 25.0
28 471 49.0
28 487 30.0
28 514 50.0
28 546 12.0
28 635 23.0
28 639 40.0
28 643 40.0
28 646 17.0
28 698 3.0
28 736 40.0
28 825 6.0
28 839 25.0
28 841 44.0
28 846 26.0
28 894 23.0
28 904 56.0
28 951 26.0
28 957 45.0
28 970 54.0
28 982 17.0
29 24 28.0
29 81 39.0
29 135 22.0
29 152 18.0
29 176 29.0
29 204 24.0
29 206 14.0
29 215 0.0
29 217 27.0
29 257 24.0
29 316 30.0
29 319 34.0
29 337 52.0
29 344 30.0
29 388 40.0
29 390 47.0
29 399 0.0
29 416 39.0
29 424 40.0
29 455 47.0
29 466 23.0
29 471 20.0
29 476 45.0
29 507 13.0
29 509 14.0
29 524 20.0
29 534 27.0
29 595 33.0
29 609 46.0
29 617 24.0
29 622 16.0
29 712 6.0
29 756 45.0
29 762 51.0
29 777 60.0
29 800 47.0
29 818 19.0
29 841 36.0
29 877 52.0
29 903 30.0
29 924 23.0
29 953 51.0
29 961 28.0
29 983 47.0
29 1000 21.0
30 65 25.0
30 78 1.0
30 110 2.0
30 117 32.0
30 131 15.0
30 145 26.0
30 146 39.0
30 208 34.0
30 215 35.0
30 244 21.0
30 262 17.0
30 266 3.0
30 274 28.0
30 275 46.0
30 317 21.0
30 318 26.0
30 324 22.0
30 346 15.0
30 378 3.0
30 379 42.0
30 380 16.0
30 395 0.0
30 454 8.0
30 471 0.0
30 479 23.0
30 503 26.0
30 515 36.0
30 543 10.0
30 566 53.0
30 567 26.0
30 585 28.0
30 598 33.0
30 606 7.0
30 628 45.0
30 638 6.0
30 645 3.0
30 676 51.0
30 695 20.0
30 734 35.0
30 758 26.0
30 813 19.0
30 852 48.0
30 878 43.0
30 885 1.0
30 893 4.0
30 898 14.0
30 915 38.0
30 948 52.0
31 21 39.0
31 102 23.0
31 115 15.0
31 143 42.0
31 153 42.0
31 154 11.0
31 159 29.0
31 165 12.0
31 185 15.0
31 212 0.0
31 217 20.0
31 262 41.0
31 292 52.0
31 293 3.0
31 303 32.0
31 352 11.0
31 356 27.0
31 365 49.0
31 403 21.0
31 466 10.0
31 500 28.0
31 542 5.0
31 547 36.0
31 555 28.0
31 566 53.0
31 567 16.0
31 608 39.0
31 612 14.0
31 658 47.0
31 674 47.0
31 736 45.0
31 763 46.0
31 765 8.0
31 766 17.0
31 772 9.0
31 791 28.0
31 825 23.0
31 853 28.0
31 864 43.0
31 894 55.0
31 903 15.0
31 932 53.0
31 982 56.0
31 989 27.0
32 20 14.0
32 34 43.0
32 60 38.0
32 167 0.0
32 178 20.0
32 188 30.0
32 189 42.0
32 192 25.0
32 207 6.0
32 224 14.0
32 226 16.0
32 241 21.0
32 242 18.0
32 268 23.0
32 292 14.0
32 295 42.0
32 313 17.0
32 348 29.0
32 350 17.0
32 352 5.0
32 372 12.0
32 378 37.0
32 400 41.0
32 419 33.0
32 445 3.0
32 466 0.0
32 467 32.0
32 477 38.0
32 494 22.0
32 498 4.0
32 511 20.0
32 514 4.0
32 515 6.0
32 548 2.0
32 599 25.0
32 620 40.0
32 649 53.0
32 673 31.0
32 687 31.0
32 715 23.0
32 729 41.0
32 783 48.0
32 832 20.0
32 844 29.0
32 860 45.0
32 867 38.0
32 873 1.0
32 879 4.0
32 889 26.0
32 893 42.0
32 920 40.0
32 922 53.0
32 928 47.0
32 930 37.0
32 968 22.0
32 975 9.0
32 988 0.0
33 52 45.0
33 66 19.0
33 78 47.0
33 91 15.0
33 127 4.0
33 128 0.0
33 167 7.0
33 175 35.0
33 176 17.0
33 178 28.0
33 200 10.0
33 202 30.0
33 269 21.0
33 304 40.0
33 355 2.0
33 386 39.0
33 403 16.0
33 413 50.0
33 422 51.0
33 424 54.0
33 427 2.0
33 459 27.0
33 576 51.0
33 597 30.0
33 626 15.0
33 635 16.0
33 669 47.0
33 670 6.0
33 678 22.0
33 707 19.0
33 747 48.0
33 759 10.0
33 765 52.0
33 771 44.0
33 802 9.0
33 818 47.0
33 839 56.0
33 855 8.0
33 861 29.0
33 920 6.0
33 947 36.0
33 975 15.0
33 977 12.0
33 980 58.0
33 987 59.0
33 992 61.0
34 65 40.0
34 80 14.0
34 138 12.0
34 163 18.0
34 165 43.0
34 175 43.0
34 245 43.0
34 337 12.0
34 371 28.0
34 379 33.0
34 408 10.0
34 427 26.0
34 432 13.0
34 452 36.0
34 472 0.0
34 481 32.0
34 485 42.0
34 498 41.0
34 507 4.0
34 531 19.0
34 540 40.0
34 585 35.0
34 625 26.0
34 649 53.0
34 714 22.0
34 742 36.0
34 743 23.0
34 761 0.0
34 793 17.0
34 805 8.0
34 808 39.0
34 893 19.0
34 922 45.0
34 993 26.0
35 122 21.0
35 155 21.0
35 183 47.0
35 192 50.0
35 221 0.0
35 239 8.0
35 244 19.0
35 262 36.0
35 298 52.0
35 327 17.0
35 346 29.0
35 371 40.0
35 390 34.0
35 394 9.0
35 398 55.0
35 406 3.0
35 408 53.0
35 421 6.0
35 449 12.0
35 469 25.0
35 524 26.0
35 544 47.0
35 556 24.0
35 581 53.0
35 591 15.0
35 598 32.0
35 610 12.0
35 633 7.0
35 674 16.0
35 690 44.0
35 706 6.0
35 735 42.0
35 746 36.0
35 755 22.0
35 757 39.0
35 828 8.0
35 853 23.0
35 884 59.0
35 892 37.0
35 913 36.0
35 994 35.0
36 10 26.0
36 17 13.0
36 61 19.0
36 77 15.0
36 78 11.0
36 94 27.0
36 182 36.0
36 193 8.0
36 222 38.0
36 239 2.0
36 241 25.0
36 246 37.0
36 258 0.0
36 269 18.0
36 275 12.0
36 309 6.0
36 343 5.0
36 347 7.0
36 349 0.0
36 357 9.0
36 367 34.0
36 418 29.0
36 489 3.0
36 490 15.0
36 514 24.0
36 515 4.0
36 522 49.0
36 528 14.0
36 545 53.0
36 557 29.0
36 561 46.0
36 567 33.0
